LocationID,Borough,Zone,service_zone,lat,lon
78,Bronx,East Tremont,Boro Zone,40.8453781,-73.8909693
79,Manhattan,East Village,Yellow Zone,40.7292494,-73.9872412
80,Brooklyn,East Williamsburg,Boro Zone,40.7210549,-73.9304689
81,Bronx,Eastchester,Boro Zone,40.8884329,-73.8281895
82,Queens,Elmhurst,Boro Zone,40.7365804,-73.8783932
83,Queens,Elmhurst/Maspeth,Boro Zone,40.8461,-73.8972
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,40.54,-74.1725
85,Brooklyn,Erasmus,Boro Zone,40.6495482,-73.9559714
86,Queens,Far Rockaway,Boro Zone,40.6053825,-73.7551326
87,Manhattan,Financial District North,Yellow Zone,40.7077,-74.0083
88,Manhattan,Financial District South,Yellow Zone,40.7428026,-73.9841476
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,40.6402827,-73.9608693
90,Manhattan,Flatiron,Yellow Zone,40.7410592,-73.9896416
91,Brooklyn,Flatlands,Boro Zone,40.6212155,-73.9348597
92,Queens,Flushing,Boro Zone,40.7654301,-73.8174291
93,Queens,Flushing Meadows-Corona Park,Boro Zone,40.7405485,-73.842789
94,Bronx,Fordham South,Boro Zone,40.837048,-73.865433
95,Queens,Forest Hills,Boro Zone,40.7231009,-73.8466125
96,Queens,Forest Park/Highland Park,Boro Zone,40.683438,-73.888428
97,Brooklyn,Fort Greene,Boro Zone,40.6907711,-73.9766245
98,Queens,Fresh Meadows,Boro Zone,40.7348246,-73.7934668
99,Staten Island,Freshkills Park,Boro Zone,40.5777439,-74.1799618
100,Manhattan,Garment District,Yellow Zone,40.7536941,-73.9905167
101,Queens,Glen Oaks,Boro Zone,40.7470463,-73.7115199
102,Queens,Glendale,Boro Zone,40.7014917,-73.8868028
103,Manhattan,Governor's Island,Yellow Zone,40.69139,-74.01611
104,Manhattan,Ellis Island,Yellow Zone,40.699207,-74.042427
105,Manhattan,Liberty Island,Yellow Zone,40.69,-74.045
106,Brooklyn,Gowanus,Boro Zone,40.6791695,-73.9885041
107,Manhattan,Gramercy,Yellow Zone,40.7355189,-73.9840794
108,Brooklyn,Gravesend,Boro Zone,40.5961338,-73.9739426
109,Staten Island,Great Kills,Boro Zone,40.5513353,-74.151201
110,Staten Island,Great Kills Park,Boro Zone,40.5436508,-74.1261469
111,Brooklyn,Green-Wood Cemetery,Boro Zone,40.652203,-73.9910769
112,Brooklyn,Greenpoint,Boro Zone,40.7237134,-73.9509714
113,Manhattan,Greenwich Village North,Yellow Zone,40.7202174,-74.0103414
114,Manhattan,Greenwich Village South,Yellow Zone,40.7335844,-74.0028172
115,Staten Island,Grymes Hill/Clifton,Boro Zone,40.6187152,-74.0934751
116,Manhattan,Hamilton Heights,Boro Zone,40.8241451,-73.9500618
117,Queens,Hammels/Arverne,Boro Zone,40.591216,-73.795967
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,40.60033,-74.11478
119,Bronx,Highbridge,Boro Zone,40.8365324,-73.9295956
120,Manhattan,Highbridge Park,Boro Zone,40.8459505,-73.9299061
121,Queens,Hillcrest/Pomonok,Boro Zone,40.7237232,-73.8085956
122,Queens,Hollis,Boro Zone,40.7134361,-73.7670772
123,Brooklyn,Homecrest,Boro Zone,40.5861133,-73.9572994
124,Queens,Howard Beach,Boro Zone,40.6610254,-73.8295605
125,Manhattan,Hudson Sq,Yellow Zone,40.7268035,-74.0079833
126,Bronx,Hunts Point,Boro Zone,40.8126008,-73.8840247
127,Manhattan,Inwood,Boro Zone,40.874856,-73.9287123
128,Manhattan,Inwood Hill Park,Boro Zone,40.8722736,-73.9254271
129,Queens,Jackson Heights,Boro Zone,40.7556561,-73.8857755
130,Queens,Jamaica,Boro Zone,40.7017931,-73.807868
131,Queens,Jamaica Estates,Boro Zone,40.7133455,-73.782511
132,Queens,JFK Airport,Airports,40.6429479,-73.7793734
133,Brooklyn,Kensington,Boro Zone,40.6462149,-73.970694
134,Queens,Kew Gardens,Boro Zone,40.7139415,-73.830742
135,Queens,Kew Gardens Hills,Boro Zone,40.7259897,-73.8207633
136,Bronx,Kingsbridge Heights,Boro Zone,40.8725702,-73.9026619
137,Manhattan,Kips Bay,Yellow Zone,40.7395463,-73.9770832
138,Queens,LaGuardia Airport,Airports,40.7757145,-73.873364
139,Queens,Laurelton,Boro Zone,40.6667703,-73.7515212
140,Manhattan,Lenox Hill East,Yellow Zone,40.7736428,-73.9608619
141,Manhattan,Lenox Hill West,Yellow Zone,40.81998,-73.9369224
142,Manhattan,Lincoln Square East,Yellow Zone,40.774,-73.982
143,Manhattan,Lincoln Square West,Yellow Zone,40.7639353,-73.9794602
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,40.7225,-73.994
145,Queens,Long Island City/Hunters Point,Boro Zone,40.7415095,-73.9569751
146,Queens,Long Island City/Queens Plaza,Boro Zone,40.748915,-73.937387
147,Bronx,Longwood,Boro Zone,40.8162916,-73.8962205
148,Manhattan,Lower East Side,Yellow Zone,40.7159357,-73.9868057
149,Brooklyn,Madison,Boro Zone,40.61,-73.95
150,Brooklyn,Manhattan Beach,Boro Zone,40.575973,-73.944014
151,Manhattan,Manhattan Valley,Yellow Zone,40.7970144,-73.969726
152,Manhattan,Manhattanville,Boro Zone,40.8157775,-73.951554
153,Manhattan,Marble Hill,Boro Zone,40.8762983,-73.9104292
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,40.58835,-73.89696
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,40.6055793,-73.9341972
156,Staten Island,Mariners Harbor,Boro Zone,40.6312348,-74.1632291
157,Queens,Maspeth,Boro Zone,40.723158,-73.912637
158,Manhattan,Meatpacking/West Village West,Yellow Zone,40.7374626,-74.0014555
159,Bronx,Melrose South,Boro Zone,40.8209,-73.9187
160,Queens,Middle Village,Boro Zone,40.7179844,-73.8788075
161,Manhattan,Midtown Center,Yellow Zone,40.7650637,-73.9853191
162,Manhattan,Midtown East,Yellow Zone,40.7598219,-73.9724708
163,Manhattan,Midtown North,Yellow Zone,40.7648401,-73.9851723
164,Manhattan,Midtown South,Yellow Zone,40.7498417,-73.984251
165,Brooklyn,Midwood,Boro Zone,40.6188823,-73.9654889
166,Manhattan,Morningside Heights,Boro Zone,40.806122,-73.9649202
167,Bronx,Morrisania/Melrose,Boro Zone,40.8292672,-73.9065253
168,Bronx,Mott Haven/Port Morris,Boro Zone,40.807837,-73.9064249
169,Bronx,Mount Hope,Boro Zone,40.8502343,-73.9095104
170,Manhattan,Murray Hill,Yellow Zone,40.7481574,-73.97875
171,Queens,Murray Hill-Queens,Boro Zone,40.7627097,-73.8146116
172,Staten Island,New Dorp/Midland Beach,Boro Zone,40.5706385,-74.1059598
173,Queens,North Corona,Boro Zone,40.735,-73.865
174,Bronx,Norwood,Boro Zone,40.8772593,-73.8768626
175,Queens,Oakland Gardens,Boro Zone,40.753991,-73.765966
176,Staten Island,Oakwood,Boro Zone,40.5639366,-74.1163373
177,Brooklyn,Ocean Hill,Boro Zone,40.6757317,-73.9124338
178,Brooklyn,Ocean Parkway South,Boro Zone,40.6169,-73.9691
179,Queens,Old Astoria,Boro Zone,40.771,-73.9047
180,Queens,Ozone Park,Boro Zone,40.67677,-73.8437461
181,Brooklyn,Park Slope,Boro Zone,40.6701033,-73.9859723
182,Bronx,Parkchester,Boro Zone,40.8332047,-73.8609723
183,Bronx,Pelham Bay,Boro Zone,40.8662112,-73.7895774
184,Bronx,Pelham Bay Park,Boro Zone,40.852548,-73.827938
185,Bronx,Pelham Parkway,Boro Zone,40.857229,-73.8676281
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,40.742165,-73.988121
187,Staten Island,Port Richmond,Boro Zone,40.6406561,-74.1313504
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,40.661,-73.961
189,Brooklyn,Prospect Heights,Boro Zone,40.6778708,-73.9684725
190,Brooklyn,Prospect Park,Boro Zone,40.6617743,-73.971089
191,Queens,Queens Village,Boro Zone,40.7267692,-73.7415208
192,Queens,Queensboro Hill,Boro Zone,40.7429131,-73.825175
193,Queens,Queensbridge/Ravenswood,Boro Zone,40.7542031,-73.9429553
194,Manhattan,Randalls Island,Yellow Zone,40.7914478,-73.9210237
195,Brooklyn,Red Hook,Boro Zone,40.6790718,-74.0194283
196,Queens,Rego Park,Boro Zone,40.722865,-73.8621025
197,Queens,Richmond Hill,Boro Zone,40.6994253,-73.8309672
198,Queens,Ridgewood,Boro Zone,40.7080556,-73.9141667
199,Bronx,Rikers Island,Boro Zone,40.7919318,-73.8834937
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,40.8986,-73.911
201,Queens,Rockaway Park,Boro Zone,40.5805104,-73.8361535
202,Manhattan,Roosevelt Island,Boro Zone,40.7613367,-73.9502853
203,Queens,Rosedale,Boro Zone,40.6620479,-73.7354097
204,Staten Island,Rossville/Woodrow,Boro Zone,40.5417682,-74.2081781
205,Queens,Saint Albans,Boro Zone,40.6984364,-73.7606881
206,Staten Island,Saint George/New Brighton,Boro Zone,40.6465873,-74.084937
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,40.7453,-73.9048
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,40.8433,-73.8321
209,Manhattan,Seaport,Yellow Zone,40.7057505,-74.0029056
210,Brooklyn,Sheepshead Bay,Boro Zone,40.5912161,-73.9445822
211,Manhattan,SoHo,Yellow Zone,40.72288,-73.9987505
212,Bronx,Soundview/Bruckner,Boro Zone,40.8281,-73.8675
213,Bronx,Soundview/Castle Hill,Boro Zone,40.8139542,-73.8583384
214,Staten Island,South Beach/Dongan Hills,Boro Zone,40.582324,-74.1048331
215,Queens,South Jamaica,Boro Zone,40.6956234,-73.7941863
216,Queens,South Ozone Park,Boro Zone,40.6701035,-73.8190231
217,Brooklyn,South Williamsburg,Boro Zone,40.7087085,-73.9702219
218,Queens,Springfield Gardens North,Boro Zone,40.678159,-73.746521
219,Queens,Springfield Gardens South,Boro Zone,40.6678,-73.7522
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,40.8788687,-73.922173
221,Staten Island,Stapleton,Boro Zone,40.6264774,-74.0776361
222,Brooklyn,Starrett City,Boro Zone,40.6478738,-73.8795192
223,Queens,Steinway,Boro Zone,40.7802203,-73.9004048
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,40.735,-73.978
225,Brooklyn,Stuyvesant Heights,Boro Zone,40.6882118,-73.9441185
226,Queens,Sunnyside,Boro Zone,40.7398242,-73.9354153
227,Brooklyn,Sunset Park East,Boro Zone,40.645531,-74.012383
228,Brooklyn,Sunset Park West,Boro Zone,40.645531,-74.012383
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,40.755361,-73.967411
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.7595077,-73.9841594
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,40.7127395,-74.005939
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,40.715097,-73.988775
233,Manhattan,UN/Turtle Bay South,Yellow Zone,40.755361,-73.967411
234,Manhattan,Union Sq,Yellow Zone,40.7360717,-73.9901888
235,Bronx,University Heights/Morris Heights,Boro Zone,40.8618406,-73.9135154
236,Manhattan,Upper East Side North,Yellow Zone,40.7736,-73.9566
237,Manhattan,Upper East Side South,Yellow Zone,40.7736,-73.9566
238,Manhattan,Upper West Side North,Yellow Zone,40.8,-73.97
239,Manhattan,Upper West Side South,Yellow Zone,40.77,-73.98
240,Bronx,Van Cortlandt Park,Boro Zone,40.8970755,-73.8865797
241,Bronx,Van Cortlandt Village,Boro Zone,40.881,-73.894
242,Bronx,Van Nest/Morris Park,Boro Zone,40.8484336,-73.8637463
243,Manhattan,Washington Heights North,Boro Zone,40.859,-73.934
244,Manhattan,Washington Heights South,Boro Zone,40.85,-73.935
245,Staten Island,West Brighton,Boro Zone,40.6345481,-74.1120867
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,40.7518826,-74.0037922
247,Bronx,West Concourse,Boro Zone,40.8237375,-73.9230056
248,Bronx,West Farms/Bronx River,Boro Zone,40.8413003,-73.877865
249,Manhattan,West Village,Yellow Zone,40.7342364,-74.0056259
250,Bronx,Westchester Village/Unionport,Boro Zone,40.8273229,-73.8501349
251,Staten Island,Westerleigh,Boro Zone,40.621215,-74.1318094
252,Queens,Whitestone,Boro Zone,40.7888409,-73.813779
253,Queens,Willets Point,Boro Zone,40.796708,-73.779396
254,Bronx,Williamsbridge/Olinville,Boro Zone,40.867409,-73.868015
255,Brooklyn,Williamsburg (North Side),Boro Zone,40.716195,-73.955144
256,Brooklyn,Williamsburg (South Side),Boro Zone,40.708,-73.957
257,Brooklyn,Windsor Terrace,Boro Zone,40.653487,-73.977196
258,Queens,Woodhaven,Boro Zone,40.6892698,-73.8579131
259,Bronx,Woodlawn/Wakefield,Boro Zone,40.8978772,-73.8523569
260,Queens,Woodside,Boro Zone,40.7461604,-73.9032853
261,Manhattan,World Trade Center,Yellow Zone,40.7119004,-74.012527
262,Manhattan,Yorkville East,Yellow Zone,40.7683107,-73.964406
263,Manhattan,Yorkville West,Yellow Zone,40.7788889,-73.9541667
264,Unknown,,,,
265,,Outside of NYC,,,
